Phone Brand,Phone Model,SKU Code,Upcoming Series,Released Date,Phone Price,item_height,item_length,item_width,MRP,SELLING PRICE
Samsung,Samsung Galaxy E5,SAME5UCASE,1,,,0.73,14.16,7.02,799,699
Samsung,Samsung Galaxy E7,SAME7UCASE,1,,,0.73,15.13,7.72,799,699
Samsung,Samsung Galaxy Grand 2,SAMGRAND2UCASE,1,,,0.89,14.68,7.53,799,699
Samsung,Samsung Galaxy Grand 3,SAMGRAND3UCASE,1,,,0.8,14.6,7.48,799,699
Samsung,Samsung Galaxy Grand Duos I9082,SAMGRANDDUOSUCASE,1,,,0.96,14.35,7.69,799,699
Samsung,Samsung Galaxy Grand I9082,,,,,,,,,
Samsung,Samsung Galaxy Grand Max,,,,,,,,,
Samsung,Samsung Galaxy Grand Prime,SAMGRANDPRIMEUCASE,1,,,0.86,14.48,7.21,699,599
Samsung,Samsung Galaxy Grand Quattro I8552,SAMGRANDQUATTROUCASE,1,,,0.97,13.33,7.07,699,599
Samsung,Samsung Galaxy J1 (2016 Edition),,,,,,,,,
Samsung,Samsung Galaxy J2,SAMJ2UCASE,1,,,0.84,13.65,6.9,699,599
Samsung,Samsung Galaxy J2 (2016),,,,,,,,,
Samsung,Samsung Galaxy J3,SAMJ3UCASE,1,,,0.79,14.23,7.1,699,599
Samsung,Samsung Galaxy J3 2016,,,,,,,,,
Samsung,Samsung Galaxy J5,SAMJ5UCASE,1,,,0.79,14.21,7.18,699,599
Samsung,Samsung Galaxy J5 (2016),,,,,,,,,
Samsung,Samsung Galaxy J7,SAMJ7UCASE,1,,,0.75,15.22,7.87,699,599
Samsung,Samsung Galaxy J7 (2016),,,,,,,,,
Samsung,Samsung Galaxy Mega 5.8,SAMMEGA5UCASE,1,,,0.9,16.2,8.2,699,599
Samsung,Samsung Galaxy Note 2,SAMUCASENT2,101,,,0.94,15.11,8.05,999,799
Samsung,Samsung Galaxy Note 3,SAMUCASENT3,1,,,0.83,15.12,7.92,999,899
Samsung,Samsung Galaxy Note 3 Neo,SAMUCASENT3NEO,1,,,0.86,14.84,7.74,799,699
Samsung,Samsung Galaxy Note 5,SAMUCASENT5,1,,,0.76,15.32,7.61,999,899
Samsung,Samsung Galaxy Note 5 Edge,SAMUCASENT5E,1,,,0.83,15.13,8.24,999,899
Samsung,Samsung Galaxy Note 5 N920,,,,,,,,,
Samsung,Samsung Galaxy On5,SAMON5UCASE,1,,,0.85,14.23,7.21,699,599
Samsung,Samsung Galaxy On7,SAMON7UCASE,1,,,0.82,15.18,7.75,699,599
Samsung,Samsung Galaxy S Duos S7562,SAMSDUOS,1,,,1.05,12.15,6.31,699,599
Samsung,Samsung Galaxy S3,SAMUCASES3,1,,,0.86,13.66,7.06,699,599
Samsung,Samsung Galaxy S3 Mini,SAMUCASES3M,1,,,0.99,12.16,6.3,699,599
Samsung,Samsung Galaxy S4,SAMUCASES4,1,,,0.79,13.66,6.98,699,599
Samsung,Samsung Galaxy S4 Mini,SAMUCASES4M,1,,,0.89,12.46,6.13,699,599
Samsung,Samsung Galaxy S5,SAMUCASES5,1,,,0.81,14.2,7.25,799,699
Samsung,Samsung Galaxy S6,SAMUCASES6,1,,,0.68,14.34,7.05,999,899
Samsung,Samsung Galaxy S6 Edge,SAMUCASES6E,265,,,0.7,14.21,7.01,999,899
Samsung,Samsung Galaxy S6 Edge Plus,,,,,,,,,
Samsung,Samsung Galaxy S7,SAMUCASES7,1,,,0.79,14.24,6.96,999,899
Samsung,Samsung Galaxy S7 Edge,SAMUCASES7E,1,,,0.77,15.09,7.26,999,899
Samsung,Samsung Galaxy Z3,,,,,,,,,
Samsung,Samsung Grand neo,,,,,,,,,
Samsung,Samsung grand neo plus,,,,,,,,,
Sony,Sony Xperia C3,XPERIAUCASEC3,1,,,0.76,15.62,7.89,699,599
Sony,Sony Xperia C4,XPERIAUCASEC4,1,,,0.79,15.03,7.74,799,699
Sony,Sony Xperia C5,XPERIAUCASEC5,132,,,0.82,16.42,7.96,799,699
Sony,Sony Xperia E4,XPERIAE4UCASE,1,,,1.05,13.7,7.46,699,599
Sony,Sony Xperia J,XPERIAJUCASE,1,,,0.92,12.43,6.12,699,599
Sony,Sony Xperia M2,XPERIAM2UCASE,1,,,0.86,13.97,7.11,699,599
Sony,Sony Xperia M4 Aqua,XPERIAM4AQUAUCASE,1,,,0.73,14.55,7.26,699,599
Sony,Sony Xperia M5,XPERIAM5UCASE,373,,,0.76,14.5,7.2,699,599
Sony,Sony Xperia S,XPERIASUCASE,1,,,1.06,12.8,6.4,699,599
Sony,Sony Xperia SP,XPERIASPUCASE,1,,,1.01,13.06,6.71,699,599
Sony,Sony Xperia T3,XPERIAT3UCASE,1,,,0.7,15.07,7.7,699,599
Sony,Sony Xperia Z1,XPERIAZ1UCASE,1,,,0.85,14.44,7.39,799,699
Sony,Sony Xperia Z2,XPERIAZ2UCASE,1,,,0.82,14.68,7.33,999,899
Sony,Sony Xperia Z3,XPERIAZ3UCASE,1,,,0.73,14.6,7.2,799,699
Sony,Sony Xperia Z3 Plus,,,,,,,,,
Sony,Sony Xperia Z4,XPERIAZ4UCASE,1,,,0.69,14.6,7.2,799,699
Sony,Sony Xperia Z5,XPERIAZ5UCASE,1,,,0.73,14.6,7.2,999,899
Sony,Sony Xperia Z5 Premium,,,,,,,,,
Vivo,Vivo V3 Max,,,,,,,,,
Xiaomi,Xiaomi Mi 3,XIAOMIUCASEMI3,133,,,0.81,14.4,7.36,799,699
Xiaomi,Xiaomi Mi 4,XIAOMIUCASEMI4,1,,,0.89,13.92,6.85,699,599
Xiaomi,Xiaomi Mi 4c,XIAOMIUCASEMI4C,1,,,0.78,13.81,6.96,699,599
Xiaomi,Xiaomi Mi 4i,XIAOMIUCASEMI4I,1,,,0.78,13.81,6.96,699,599
Xiaomi,Xiaomi Mi5,,,,,,,,,
Xiaomi,Xiaomi Redmi 2 Prime / Xiaomi Redmi 2 / 2s,,,,,,,,,
Xiaomi,Xiaomi Redmi 2S,XIAOMIREDMI2SUCASE,1,,,1.02,12.6,6.2,699,599
Xiaomi,Xiaomi Redmi Mi4C,,,,,,,,,
Xiaomi,Xiaomi Redmi Note,XIAOMIREDMINTUCASE,1,,,0.95,15.4,7.87,699,599
Xiaomi,Xiaomi Redmi Note 3,XIAOMIREDMINT3UCASE,1,,,0.87,15,7.6,699,599
Xiaomi,Xiaomi Redmi Note Prime,,,,,,,,,
